id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
19,552262.5,174330,37.41,62.59,31.5665105,12856.25,122825,65043.75,47243.75,1656.25,280062.5,0,19237.5,0,3337.5,661.87627,49426,48187,64.4210711,MISSING,6915.9425
20,650962.5,102438,49.41,50.59,15.7363903,40675,225675,128750,38025,2475,167481.25,0,44375,0,3506.25,632.883743,24986,25730,65.6000016,MISSING,7123.3275
21,2557943.8,2513594,63.57,36.43,98.2661953,60562.5,293281.25,286006.25,270837.5,9606.25,1537606.25,0,68443.75,0,31600,313.934137,1419003,532199,49.0575647,MISSING,15308.785
22,524762.5,222175,57.45,42.55,42.3382006,23112.5,23156.25,33162.5,18068.75,1962.5,408493.75,0,15875,0,931.25,472.577436,43796,37597,13.3068301,MISSING,4166.585
23,2426725,1991429,89.69,10.31,82.0624092,93706.25,1158225,368462.5,16487.5,10837.5,671693.75,0,76575,0,30737.5,269.608532,36285,54289,14.9883579,MISSING,9507.9175
24,2661400,2120105,91.3,8.7,79.6612685,53987.5,1242931.25,445450,16618.75,11956.25,636843.75,25,168768.75,0,84818.75,192.840791,370247,292537,91.6000032,MISSING,3009.2375
25,1697175,146508,67.3,32.7,8.63246277,606.25,1169868.75,320075,500,56418.75,42475,31.25,99006.25,0,8193.75,349.996409,24710,19524,91.6000032,MISSING,642.905
26,2217706.3,371304,57.34,42.66,16.7427043,2937.5,1610175,327843.75,43.75,2418.75,108443.75,0,128943.75,0,36900,330.161995,63335,50042,91.6000032,MISSING,1363.425
27,289706.3,378089,89.94,10.06,130.507713,5393.75,4750,10350,2118.75,762.5,246587.5,0,5600,0,14143.75,221.760201,144378,114075,91.6000032,MISSING,714.7525
28,692943.8,849239,91.35,8.65,122.555258,35812.5,237425,155050,4412.5,462.5,191643.75,12.5,27862.5,0,40262.5,665.969824,111142,87815,91.6000032,MISSING,4993.0325
29,2887337.5,263705,69.41,30.59,9.13328307,13006.25,1885712.5,512112.5,75875,97156.25,139918.75,431.25,145906.25,0,17218.75,373.573461,82219,64962,91.5670278,SWEDEN,1592.03
30,8585268.8,2819677,65.8,34.2,32.8432014,509743.75,1482043.75,1429718.75,510356.25,44831.25,4409293.75,0,148462.5,0,50818.75,237.191477,452039,645898,26.3896003,LATVIA,18616.15
31,197562.5,12941,42.82,57.18,6.55103505,31.25,136200,35462.5,0,43.75,3600,0,20150,0,2075,271.398939,2111,1668,91.6000032,SWEDEN,65.1075
32,455925,89618,58.46,41.54,19.6555855,4062.5,307100,85456.25,462.5,106.25,40943.75,0,14168.75,0,3625,208.321615,24014,18973,91.6000032,SWEDEN,364.1275
33,134606.3,6322,16.72,83.28,4.69730984,1087.5,69437.5,25287.5,218.75,181.25,20050,0,18343.75,0,0,236.537265,11713,9405,79,FINLAND,488.74
34,41025,1482,0,100,3.61421381,0,24718.75,12656.25,0,0,2318.75,0,1331.25,0,0,198.574467,1360,1075,91.6000032,SWEDEN,23.51
35,863187.5,156038,48.23,51.77,18.0767744,69600,166700,185212.5,110737.5,975,321187.5,0,4831.25,0,3943.75,284.712266,48882,49936,66.2062762,LATVIA,3667.2675
36,227800,118769,85.26,14.74,52.1211853,0,164156.25,28737.5,0,431.25,9631.25,0,16175,0,8668.75,254.716626,5649,4463,91.6000032,SWEDEN,178.99
37,332150,5447,0,100,1.63953342,0,269925,48931.25,0,2750,1281.25,0,9262.5,0,0,335.928267,737,582,91.6000032,SWEDEN,73.4175
38,4821337.5,982254,67.48,32.52,20.3727678,79425,2235650,741675,164193.75,71887.5,642406.25,7587.5,840293.75,0,38218.75,361.959714,377664,298397,91.6018308,SWEDEN,9327.62517
39,468406.3,149305,48.99,51.01,31.8746743,34237.5,198575,71968.75,1612.5,325,137412.5,0,18706.25,0,5568.75,285.757667,80593,63677,91.6000032,SWEDEN,1340.435
40,1426256.3,26108,22.88,77.12,1.8303578,250,794018.75,523531.25,37.5,12600,23537.5,0,72281.25,0,0,389.091247,13759,11047,79,FINLAND,384.8925
41,2545687.5,109173,59.47,40.53,4.28837536,48393.75,1211337.5,532450,223593.75,192668.75,94893.75,24487.5,213575,0,4287.5,578.108532,55842,44121,91.6210652,SWEDEN,1481.8975
42,113637.5,5499,0,100,4.83912576,1318.75,89912.5,11393.75,0,618.75,10156.25,0,237.5,0,0,412.456491,5937,4767,79,FINLAND,258.2675
43,415825,49297,35.51,64.49,11.8549535,9631.25,167606.25,155831.25,0,781.25,75718.75,0,5012.5,0,1243.75,293.073247,44261,35538,79,FINLAND,1018.8
44,1767206.3,35185,68.52,31.48,1.99078105,52600,759787.5,337406.25,125031.25,357943.75,21906.25,62487.5,44687.5,3256.25,2100,592.286359,12848,10151,91.6000032,SWEDEN,900.94
45,293231.3,24480,43.73,56.27,8.34870149,393.75,216200,49087.5,875,3318.75,14343.75,0,9012.5,0,0,208.257131,8370,6720,79,FINLAND,348.8675
46,294987.5,34672,27.15,72.85,11.7526185,12487.5,39268.75,75943.75,15856.25,1206.25,149925,0,300,0,0,276.341781,26018,25209,70.2,ESTONIA,1341.165
